rotulo fase id_evento id_estrutura tempo endereco tamanho
L 0 2 -1 0.028268888 140732762592032 32
L 0 3 -1 0.028271944 140732762595232 32
L 0 4 -1 0.028272856 140732762598432 32
L 0 5 -1 0.028273707 140732762601632 32
L 0 6 -1 0.028274509 140732762604832 32
L 0 7 -1 0.028275230 140732762608032 32
L 0 8 -1 0.028275901 140732762611232 32
L 0 9 -1 0.028276543 140732762614432 32
L 0 10 -1 0.028277224 140732762617632 32
L 0 11 -1 0.028277925 140732762620832 32
L 0 12 -1 0.028278556 140732762624032 32
L 0 13 -1 0.028279107 140732762627232 32
L 0 14 -1 0.028279638 140732762630432 32
L 0 15 -1 0.028280280 140732762633632 32
L 0 16 -1 0.028280961 140732762636832 32
L 0 17 -1 0.028281662 140732762640032 32
L 0 18 -1 0.028282304 140732762643232 32
L 0 19 -1 0.028282995 140732762646432 32
L 0 20 -1 0.028283656 140732762649632 32
L 0 21 -1 0.028284287 140732762652832 32
L 0 22 -1 0.028284949 140732762656032 32
L 0 23 -1 0.028285530 140732762659232 32
L 0 24 -1 0.028286151 140732762662432 32
L 0 25 -1 0.028286812 140732762665632 32
L 0 26 -1 0.028287443 140732762668832 32
L 0 27 -1 0.028288054 140732762672032 32
L 0 28 -1 0.028288716 140732762675232 32
L 0 29 -1 0.028289337 140732762678432 32
L 0 30 -1 0.028290018 140732762681632 32
L 0 31 -1 0.028290639 140732762684832 32
L 0 32 -1 0.028291281 140732762688032 32
L 0 33 -1 0.028291962 140732762691232 32
L 0 34 -1 0.028292633 140732762694432 32
L 0 35 -1 0.028293284 140732762697632 32
L 0 36 -1 0.028293946 140732762700832 32
L 0 37 -1 0.028294587 140732762704032 32
L 0 38 -1 0.028295188 140732762707232 32
L 0 39 -1 0.028295849 140732762710432 32
L 0 40 -1 0.028296460 140732762713632 32
L 0 41 -1 0.028297072 140732762716832 32
L 0 42 -1 0.028297693 140732762720032 32
L 0 43 -1 0.028298324 140732762723232 32
L 0 44 -1 0.028299005 140732762726432 32
L 0 45 -1 0.028299707 140732762729632 32
L 0 46 -1 0.028300408 140732762732832 32
L 0 47 -1 0.028301089 140732762736032 32
L 0 48 -1 0.028301791 140732762739232 32
L 0 49 -1 0.028302482 140732762742432 32
L 0 50 -1 0.028303173 140732762745632 32
L 0 51 -1 0.028303875 140732762748832 32
L 0 52 -1 0.028304526 140732762752032 32
L 0 53 -1 0.028305187 140732762755232 32
L 0 54 -1 0.028305848 140732762758432 32
L 0 55 -1 0.028306490 140732762761632 32
L 0 56 -1 0.028307151 140732762764832 32
L 0 57 -1 0.028307802 140732762768032 32
L 0 58 -1 0.028308443 140732762771232 32
L 0 59 -1 0.028309115 140732762774432 32
L 0 60 -1 0.028309746 140732762777632 32
L 0 61 -1 0.028310387 140732762780832 32
L 0 62 -1 0.028311038 140732762784032 32
L 0 63 -1 0.028311689 140732762787232 32
L 0 64 -1 0.028312341 140732762790432 32
L 0 65 -1 0.028312992 140732762793632 32
L 0 66 -1 0.028313643 140732762796832 32
L 0 67 -1 0.028314284 140732762800032 32
L 0 68 -1 0.028314936 140732762803232 32
L 0 69 -1 0.028315577 140732762806432 32
L 0 70 -1 0.028316248 140732762809632 32
L 0 71 -1 0.028316929 140732762812832 32
L 0 72 -1 0.028317581 140732762816032 32
L 0 73 -1 0.028318232 140732762819232 32
L 0 74 -1 0.028318893 140732762822432 32
L 0 75 -1 0.028319524 140732762825632 32
L 0 76 -1 0.028320176 140732762828832 32
L 0 77 -1 0.028320817 140732762832032 32
L 0 78 -1 0.028321478 140732762835232 32
L 0 79 -1 0.028322149 140732762838432 32
L 0 80 -1 0.028322821 140732762841632 32
L 0 81 -1 0.028323442 140732762844832 32
L 0 82 -1 0.028324093 140732762848032 32
L 0 83 -1 0.028324734 140732762851232 32
L 0 84 -1 0.028325355 140732762854432 32
L 0 85 -1 0.028326057 140732762857632 32
L 0 86 -1 0.028326678 140732762860832 32
L 0 87 -1 0.028327369 140732762864032 32
L 0 88 -1 0.028328021 140732762867232 32
L 0 89 -1 0.028328712 140732762870432 32
L 0 90 -1 0.028329343 140732762873632 32
L 0 91 -1 0.028330064 140732762876832 32
L 0 92 -1 0.028330716 140732762880032 32
L 0 93 -1 0.028331387 140732762883232 32
L 0 94 -1 0.028332038 140732762886432 32
L 0 95 -1 0.028332659 140732762889632 32
L 0 96 -1 0.028333351 140732762892832 32
L 0 97 -1 0.028333922 140732762896032 32
L 0 98 -1 0.028334583 140732762899232 32
L 0 99 -1 0.028335234 140732762902432 32
L 0 100 -1 0.028335865 140732762905632 32
L 0 101 -1 0.028336567 140732762908832 32
L 0 102 -1 0.028419184 140732762912032 32
L 0 103 -1 0.028420707 140732762915232 32
L 0 104 -1 0.028421358 140732762918432 32
L 0 105 -1 0.028421979 140732762921632 32
L 0 106 -1 0.028422601 140732762924832 32
L 0 107 -1 0.028423252 140732762928032 32
L 0 108 -1 0.028423933 140732762931232 32
L 0 109 -1 0.028424574 140732762934432 32
L 0 110 -1 0.028425226 140732762937632 32
L 0 111 -1 0.028425897 140732762940832 32
L 0 112 -1 0.028426538 140732762944032 32
L 0 113 -1 0.028427209 140732762947232 32
L 0 114 -1 0.028427891 140732762950432 32
L 0 115 -1 0.028428522 140732762953632 32
L 0 116 -1 0.028430055 140732762956832 32
L 0 117 -1 0.028430656 140732762960032 32
L 0 118 -1 0.028431247 140732762963232 32
L 0 119 -1 0.028431818 140732762966432 32
L 0 120 -1 0.028432409 140732762969632 32
L 0 121 -1 0.028433010 140732762972832 32
L 0 122 -1 0.028433692 140732762976032 32
L 0 123 -1 0.028434363 140732762979232 32
L 0 124 -1 0.028434974 140732762982432 32
L 0 125 -1 0.028435585 140732762985632 32
L 0 126 -1 0.028436186 140732762988832 32
L 0 127 -1 0.028436838 140732762992032 32
L 0 128 -1 0.028437469 140732762995232 32
L 0 129 -1 0.028438120 140732762998432 32
L 0 130 -1 0.028438751 140732763001632 32
L 0 131 -1 0.028439373 140732763004832 32
L 0 132 -1 0.028440024 140732763008032 32
L 0 133 -1 0.028440655 140732763011232 32
L 0 134 -1 0.028441286 140732763014432 32
L 0 135 -1 0.028442008 140732763017632 32
L 0 136 -1 0.028442659 140732763020832 32
L 0 137 -1 0.028443330 140732763024032 32
L 0 138 -1 0.028444021 140732763027232 32
L 0 139 -1 0.028444582 140732763030432 32
L 0 140 -1 0.028445234 140732763033632 32
L 0 141 -1 0.028445895 140732763036832 32
L 0 142 -1 0.028446526 140732763040032 32
L 0 143 -1 0.028447177 140732763043232 32
L 0 144 -1 0.028447819 140732763046432 32
L 0 145 -1 0.028448490 140732763049632 32
L 0 146 -1 0.028449141 140732763052832 32
L 0 147 -1 0.028449752 140732763056032 32
L 0 148 -1 0.028450373 140732763059232 32
L 0 149 -1 0.028451025 140732763062432 32
L 0 150 -1 0.028451666 140732763065632 32
L 0 151 -1 0.028452327 140732763068832 32
L 0 152 -1 0.028452998 140732763072032 32
L 0 153 -1 0.028453670 140732763075232 32
L 0 154 -1 0.028454321 140732763078432 32
L 0 155 -1 0.028454982 140732763081632 32
L 0 156 -1 0.028455754 140732763084832 32
L 0 157 -1 0.028456455 140732763088032 32
L 0 158 -1 0.028457086 140732763091232 32
L 0 159 -1 0.028457737 140732763094432 32
L 0 160 -1 0.028458379 140732763097632 32
L 0 161 -1 0.028459020 140732763100832 32
L 0 162 -1 0.028459681 140732763104032 32
L 0 163 -1 0.028460242 140732763107232 32
L 0 164 -1 0.028460783 140732763110432 32
L 0 165 -1 0.028461414 140732763113632 32
L 0 166 -1 0.028462076 140732763116832 32
L 0 167 -1 0.028462737 140732763120032 32
L 0 168 -1 0.028463368 140732763123232 32
L 0 169 -1 0.028464019 140732763126432 32
L 0 170 -1 0.028464671 140732763129632 32
L 0 171 -1 0.028465362 140732763132832 32
L 0 172 -1 0.028465983 140732763136032 32
L 0 173 -1 0.028466594 140732763139232 32
L 0 174 -1 0.028467226 140732763142432 32
L 0 175 -1 0.028467907 140732763145632 32
L 0 176 -1 0.028468568 140732763148832 32
L 0 177 -1 0.028469219 140732763152032 32
L 0 178 -1 0.028469851 140732763155232 32
L 0 179 -1 0.028470472 140732763158432 32
L 0 180 -1 0.028471113 140732763161632 32
L 0 181 -1 0.028471744 140732763164832 32
L 0 182 -1 0.028472355 140732763168032 32
L 0 183 -1 0.028472936 140732763171232 32
L 0 184 -1 0.028473588 140732763174432 32
L 0 185 -1 0.028474249 140732763177632 32
L 0 186 -1 0.028474900 140732763180832 32
L 0 187 -1 0.028475571 140732763184032 32
